Property Name,Data Type,Description,Services,Service Count
meetingOptionWebViewUrl,STRING,Defines Meeting Room web view URL.,Emp Exp Common Config,1
meetingRoomCheckInCutOff,INTEGER,Defines the cutoff for the visibility of the checkin button on the meeting rooms web and mobile view.,Meeting Rooms,1
meetingRoomCost,BOOLEAN,Controls display of meeting room cost in the UI for web and mobile view.,Meeting Rooms,1
meetingRoomKioskUrl,STRING,Defines Meeting Room Kiosk URL.,Emp Exp Common Config,1
meetingRoomsWidgetEnabled,BOOLEAN,Controls whether the meeting rooms widget is displayed in the employee home page on web.,"Emp Exp Common Config, Emp Exp Internal Config",2
meetingRoomUrl,STRING,Defines Meeting Room module URL.,Emp Exp Common Config,1
meetingStartTimeCuttoffInMinutes,INTEGER,Defines the cutoff for how much prior to that start time the booking can be created. Its a booking creation cutoff time. Value is in minutes.,Meeting Rooms,1
microBookingEnabled,BOOLEAN,-,Emp Exp Common Config,1
minDurationInMinutes,INTEGER,Defines minimum duration need for a meeting room booking.,Meeting Rooms,1
minHoursAllowedForCheckin,DOUBLE,-,Booking Rule Engine,1
minShiftDuration,DOUBLE,-,Booking Rule Engine,1
minTemperatureAllowed,DOUBLE,Defines the minimum temperature threshold allowed for entry validation.,Guard App,1
mobile,STRING,Controls whether the Mobile field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
MOBILE_APP_BANNERS,LIST,-,Emp Exp Common Config,1
mobileNumberLength,INTEGER,Defines required mobile number length.,"Booking Rule Engine, Emp Exp Common Config",2
mobileSSOMandatory,BOOLEAN,Removes the 'Continue with OTP' option on the mobile SSO login screen.,Emp Exp Common Config,1
mobilityHealthStatus,STRING,Displays driver vaccination details on the Tracking page.,Emp Exp Common Config,1
MONTH_END_NO_SHOW_ACTION_EMAIL,STRING,-,Email Emp Experience,1
MONTH_END_NO_SHOW_ACTION_EMAIL_SUBJECT,STRING,-,Email Emp Experience,1
MONTH_END_NO_SHOW_FUTURE_SCHEDULE_REMOVED_MESSAGE,STRING,-,Email Emp Experience,1
MONTH_END_NO_SHOW_FUTURE_SCHEDULES_REMOVED_TITLE,STRING,-,Email Emp Experience,1
MONTH_END_NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_MESSAGE,STRING,-,Email Emp Experience,1
MONTH_END_NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_TITLE,STRING,-,Email Emp Experience,1
MONTHLY_NO_SHOW_ACTION_EMAIL,STRING,-,Email Emp Experience,1
MONTHLY_NO_SHOW_FUTURE_SCHEDULES_REMOVED_MESSAGE,STRING,-,Email Emp Experience,1
MONTHLY_NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_MESSAGE,STRING,-,Email Emp Experience,1
MONTHLY_NO_SHOW_WARNING_EMAIL,STRING,-,Email Emp Experience,1
MONTHLY_NO_SHOW_WARNING_MESSAGE,STRING,-,Email Emp Experience,1
MSU,LIST,Configures MSU role access.,PMS,1
MULTI_DOMAIN,BOOLEAN,Controls multiple domains in a single BUID (for clients like MAF),Meeting Rooms,1
MULTIPLE_BOOKINGS_ENABLED,BOOLEAN,Enables creation of multiple bookings from Work Planner.,PMS,1
multipleBookingsOnASeatInADayAllowed,BOOLEAN,Allows multiple bookings on the same seat within a single day.,"Booking Rule Engine, Emp Exp Common Config",2
multipleScanErrorMessage,STRING,Defines error message for multiple scans.,Emp Exp Common Config,1
MY_BOOKINGS_ENABLED,BOOLEAN,Enables the My Bookings option under Team Manager Dashboard.,PMS,1
name,STRING,Controls whether the Name field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
nativeRoomEmail,BOOLEAN,Displays room email ID input in new room workflow.,Emp Exp Common Config,1
NDA,BOOLEAN,Not in use.,VMS,1
ndaCheckbox,BOOLEAN,Controls NDA checkbox visibility.,VMS,1
ndaCheckboxContent,STRING,Defines content displayed below NDA checkbox.,VMS,1
ndaScreenHeader,STRING,This property controlled nda screen header text,VMS,1
nearByShuttleStopDistanceInMetre,DOUBLE,-,Emp Exp Common Config,1
neighbourSeatsRadius,INTEGER,Defines the radius within which a seat cannot be booked.,Guard App,1
new_seat_booking_url,STRING,Defines the new Seat Booking URL.,PMS,1
newRoomParticipantWorkflow,BOOLEAN,Determines whether participant addition should be allowed in the new room booking flow.,Booking Rule Engine,1
nextDayLogoutEnabled,BOOLEAN,Controls visibility of next-day logout shifts in booking form.,"Booking Rule Engine, Emp Exp Common Config",2
NO_SHOW_ACTION_AT_MONTH_END_BANNER_MESSAGE,STRING,-,Email Emp Experience,1
NO_SHOW_ACTION_EMAIL,STRING,-,Email Emp Experience,1
NO_SHOW_ACTION_EMAIL_AT_MONTH_END_SUBJECT,STRING,-,Email Emp Experience,1
NO_SHOW_ACTION_EMAIL_FUTURE_SCHEDULE_REMOVAL_AND_SCHEDULE_EDIT_REVOKED_SUBJECT,STRING,-,Email Emp Experience,1
NO_SHOW_ACTION_EMAIL_FUTURE_SCHEDULE_REMOVAL_SUBJECT,STRING,-,Email Emp Experience,1
NO_SHOW_APPROVAL_ENABLED,BOOLEAN,-,Emp Exp Common Config,1
NO_SHOW_AUTO_APPROVAL_EMAIL,STRING,-,Email Emp Experience,1
NO_SHOW_AUTO_APPROVAL_SUBJECT,STRING,-,Email Emp Experience,1
NO_SHOW_COUNT_BANNER_ENABLED,BOOLEAN,Controls no-show banner visibility.,Emp Exp Common Config,1
NO_SHOW_EMPLOYEE_BOARDED_NOTIFICATION,STRING,-,Email Emp Experience,1
NO_SHOW_FUTURE_SCHEDULES_REMOVED_MESSAGE,STRING,-,Email Emp Experience,1
NO_SHOW_FUTURE_SCHEDULES_REMOVED_TITLE,STRING,-,Email Emp Experience,1
NO_SHOW_POLICY_RE_INSTANTIATION_EMAIL,STRING,-,Email Emp Experience,1
NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_MESSAGE,STRING,-,Email Emp Experience,1
NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_TITLE,STRING,-,Email Emp Experience,1
NO_SHOW_WARNING_EMAIL,STRING,-,Email Emp Experience,1
NO_SHOW_WARNING_EMAIL_SUBJECT,STRING,-,Email Emp Experience,1
NO_SHOW_WARNING_MESSAGE,STRING,-,Email Emp Experience,1
NO_SHOW_WARNING_TITLE,STRING,-,Email Emp Experience,1
noAutoCheckinKiosk,BOOLEAN,"When Checkin is hidden, the kiosk auto-checks into the booking. This controls that auto check-in behavior on Meeting Rooms Kiosk.",Meeting Rooms,1
nodal,STRING,Controls whether the Nodal Point field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
noOfDaysAllowedInPlanner,DOUBLE,Defines allowed planning window.,Emp Exp Common Config,1
noResourceBookingConfirmation,BOOLEAN,Defines if there is no resource then the popup to confirm booking without resource should be displayed or not.,Booking Rule Engine,1
noShowActionAtMonthEndBannerMessage,STRING,-,Email Emp Experience,1
notesToAdmins,BOOLEAN,Enables optional notes to admins via email.,VMS,1
noteToFrontDesk,BOOLEAN,Enables optional notes to receptionist/security via email.,VMS,1
notificationConfigs,JSON,Defines notification page configuration values.,VMS,1
notificationMetaData,JSON,Defines metadata configuration for notification page.,VMS,1
notificationOnDeskRelease,BOOLEAN,Controls desk release notifications.,Emp Exp Common Config,1
numberOfAllowedTrips,DOUBLE,Defines maximum trips per user.,Emp Exp Common Config,1
numOfDays,INTEGER,-,Booking Rule Engine,1
office,STRING,Controls whether the Office field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
OFFICE ADMIN,LIST,Configures Office Admin role access.,PMS,1
office_name,STRING,"The office label used to scope rooms and MR configs to that office. If it doesn't match the server office name, rooms/configs for that office will show as expected.",Meeting Rooms,1
OFFICE_NAME_MAPPING,JSON,-,App Server Config,1
OFFICE_PREMISE_NAME,STRING,Defines the office mapping for meeting room via meeting room sync.,Meeting Rooms,1
OFFICE_SELECTION_ENABLED,BOOLEAN,Enables Office Selection under Team Manager Dashboard.,PMS,1
OFFICE_TO_HOME_DISTANCE_VALIDATION_FAILED_MESSAGE,STRING,-,Email Emp Experience,1
OFFICE_WISE_SHIFT_MAPPING,JSON,-,App Server Config,1
officeCheckInMode,STRING,Configures office check-in mode for mobile.,Emp Exp Common Config,1
officeCheckInModeApp,STRING,Configures office check-in mode for mobile app.,"Booking Rule Engine, Emp Exp Common Config",2
officeCheckInModeWeb,STRING,Configures office check-in mode for web.,"Booking Rule Engine, Emp Exp Common Config",2
officeCheckInReminderEmailCtaEnabled,BOOLEAN,Adds Check-in and Cancel CTAs in reminder emails.,Emp Exp Common Config,1
officeCheckInReminderEmailEnabled,BOOLEAN,Controls office check-in reminder emails.,Emp Exp Common Config,1
old_seat_booking_url,STRING,Defines the old Seat Booking URL.,PMS,1
onBehalfBookingEmailToCreatorEnabled,BOOLEAN,Controls on-behalf booking email notification to creator.,Emp Exp Common Config,1
onCallMaxShiftDurationInMinute,INTEGER,-,Booking Rule Engine,1
onCallMinShiftDurationInMinute,INTEGER,-,Booking Rule Engine,1
onlyParkingBookingEnabled,BOOLEAN,Displays only the Parking booking option on Employee Home and FAB for clients using MoveInSync exclusively for parking.,Emp Exp Common Config,1
OPT_IN_APPROVAL_FLOW_ENABLED,BOOLEAN,OPT_IN_APPROVAL_FLOW_ENABLED,Emp Exp Common Config,1
optInDeclarationConfig,JSON,Declaration configurations for optin.,Emp Exp Common Config,1
optInDisplayText,JSON,Defines commute opt-in/opt-out display text.,Emp Exp Common Config,1
optInOptionsEnabled,LIST,-,Emp Exp Common Config,1
optInOutV3Declaration,JSON,-,Emp Exp Common Config,1
optOutPendingEmailSubject,STRING,-,Emp Exp Common Config,1
organiserBookingEmailsMeetingRooms,BOOLEAN,Controls whether the organizer receives booking emails.,Meeting Rooms,1
organiserPersonaMeetingRooms,JSON,Controls email notifications for organizer persona in Meeting Rooms module.,Meeting Rooms,1
otherUsersPersonaMeetingRooms,JSON,Controls email notifications for other participant personas in Meeting Rooms module.,Meeting Rooms,1
otpApprovalFlow,BOOLEAN,Not in use.,VMS,1
otpOverIvrForVisitor,BOOLEAN,-,Booking Rule Engine,1
OUTLOOK_WO_ADMIN_CONSENT,BOOLEAN,This controls the room email id field in the room details section of Meeting Rooms Settings page. This is needed for an integrated setup.,Meeting Rooms,1
OutlookNativeRoomSetup,BOOLEAN,Hybrid setup for outlook integration,Meeting Rooms,1
overlappingTimeInMinutes,INTEGER,-,Booking Rule Engine,1
overrideMinMaxShiftDurations,JSON,Overrides minShiftDuration and maxShiftDuration configurations for bookings created from Workplanner and Booking Bulk Upload.,Booking Rule Engine,1
overStayAlertBuffer,INTEGER,Defines buffer time (in minutes) after end time to trigger overstay alerts.,VMS,1
overStayAlertMsTeamsTemplate,JSON,Defines MS Teams template for overstay alerts.,VMS,1
overStayAlertRecipients,LIST,Defines recipient list for overstay alerts.,VMS,1
overstayTriggerList,LIST,Defines channels (MS Teams/Email) for overstay alerts.,VMS,1
PARKING_ALLOCATION,BOOLEAN,Enables the Parking Allocation page in the sidenav.,PMS,1
PARKING_TAGGING_ENABLED,BOOLEAN,Enables the Parking Tagging option.,PMS,1
parkingAllocationUrl,STRING,Defines Parking Allocation URL.,Emp Exp Common Config,1
parkingBookingMandatory,BOOLEAN,Makes parking booking mandatory for office booking.,Emp Exp Common Config,1
parkingEnabled,BOOLEAN,Enables parking option in the booking form.,Emp Exp Common Config,1
parkingEndCutOffInMinute,DOUBLE,Defines minutes after booking start when parking QR can be generated.,Emp Exp Common Config,1
parkingExpiry,DOUBLE,Defines expiry time of generated parking QR.,Emp Exp Common Config,1
parkingMailNotificationMinutes,DOUBLE,Defines parking email trigger minutes.,Emp Exp Common Config,1
parkingReminderEmailEnabled,BOOLEAN,Controls whether parking reminder emails are enabled.,"Emp Exp Common Config, Emp Exp Internal Config",2
parkingReminderNotificationEnabled,BOOLEAN,Controls parking reminder notifications.,Emp Exp Common Config,1
parkingReminderNotificationMinutes,LIST,Defines parking reminder trigger minutes.,Emp Exp Common Config,1
parkingScheduleCutoff,DOUBLE,Defines advance booking window for parking.,Emp Exp Common Config,1
parkingSlotBufferTimeInMin,INTEGER,Defines parking allocation buffer time.,"Booking Rule Engine, Emp Exp Common Config",2
parkingStartCutOffInMinute,DOUBLE,Defines minutes before booking start when parking QR can be generated.,Emp Exp Common Config,1
parkingTagHeaders,LIST,Headers for parking tag,WIS Seat Booking,1
participantPersonaMeetingRooms,JSON,Controls email notifications for participant personas in the Meeting Rooms module.,Meeting Rooms,1
pendingRequestsNotificationEnabled,BOOLEAN,Controls whether notifications are sent for pending booking approval requests.,"Booking Rule Engine, Emp Exp Common Config, WIS Seat Booking",3
pinDisanceThresholdForShuttleStopApi,DOUBLE,-,Emp Exp Common Config,1
PLANNED_EMPLOYEE_BOARDED_NOTIFICATION,STRING,-,Email Emp Experience,1
pmsEnabled,BOOLEAN,Controls whether the Property Management System (PMS) integration is enabled.,Guard App,1
PRE_SIGNED_URL_EXPIRATION_SECONDS,INTEGER,-,"App Server Config, App Server Config (.in)",2
PRE_TRIP_CANCELLATION_NOTIFICATION_MINUTES_BEFORE_LOGIN_CANCELLATION_CUTOFF,INTEGER,-,Emp Exp Common Config,1
PRE_TRIP_CANCELLATION_NOTIFICATION_MINUTES_BEFORE_LOGOUT_CANCELLATION_CUTOFF,INTEGER,-,Emp Exp Common Config,1
preferencesFloorPlanUrl,STRING,Defines Preferences floor plan URL.,Emp Exp Common Config,1
preFillVisitorPhotoForExistingVisitor,BOOLEAN,Allows pre-filling of visitor photo for existing visitors.,VMS,1
Premise_Floorplan_Legend_Collapsed,BOOLEAN,Collapses the legend by default on the Premises floor plan view.,Emp Exp Common Config,1
PREMISES_ENABLED,BOOLEAN,Enables the Premises page in the sidenav.,PMS,1
premiseUI,STRING,Defines Premises management UI URL.,Emp Exp Common Config,1
Print_Visitor_Badge,BOOLEAN,Enables Print Badge button on Front Desk dashboard.,VMS,1
printerConnectionModes,LIST,Defines available printer connection modes.,VMS,1
privilegedPhoneNumbers,LIST,-,"App Server Config, App Server Config (.in)",2
PROFILE,JSON,"This property controls user profile settings, address edit permissions, transport visibility options, profile validation, completion rules, and related display configurations within the application.","App Server Config, App Server Config (.in)",2
profileFieldsMetaData,LIST,Handles profile fields configuration for invited flow.,VMS,1
profileRegistrationEmailSubject,STRING,-,Emp Exp Common Config,1
PROJECT_MAPPING_NOT_FOUND_MESSAGE,JSON,update,App Server Config (.in),1
projectCodeEnabledOnBooking,BOOLEAN,Controls Project Code field visibility.,Emp Exp Common Config,1
projectCodeEnabledOnBookingMandatory,BOOLEAN,Controls mandatory Project Code field.,Emp Exp Common Config,1
projectCodeMandatoryFor,LIST,Makes Project Code field mandatory for specified booking types.,Emp Exp Common Config,1
projectmgr,LIST,Configures Project Manager role access.,PMS,1
promotionBannerUrl,STRING,-,Emp Exp Common Config,1
promotionDisplayText,STRING,-,Emp Exp Common Config,1
qrCheckInBufferTime,INTEGER,Defines buffer time (in minutes) before booking start when QR check-in is allowed.,VMS,1
qrImageClientLogoUrl,STRING,Controls the URL of the client logo displayed on generated QR codes.,Guard App,1
qrImagefooterUrl,STRING,Controls the URL of the footer image displayed on generated QR codes.,Guard App,1
qRScannerEndCutOffInMinute,INTEGER,Defines minutes after booking start when Scan QR becomes inactive.,"Booking Rule Engine, Emp Exp Common Config",2
qRScannerExpiry,DOUBLE,Defines expiry time of QR scanner after booking start.,Emp Exp Common Config,1
qRScannerStartCutOffInMinute,INTEGER,Defines minutes before booking start when Scan QR becomes active.,"Booking Rule Engine, Emp Exp Common Config",2
RADIAL_DISTANCE_VALIDATION_FAILED_MESSAGE,STRING,-,Email Emp Experience,1
radius,DOUBLE,-,Emp Exp Internal Config,1
rbacDeskAllocationEnabled,BOOLEAN,Enables RBAC-based desk allocation.,Emp Exp Common Config,1
reAuthenticationModeEmail,BOOLEAN,Defines email-based two-step authentication mode.,Emp Exp Common Config,1
reAuthenticationModePhone,BOOLEAN,Defines phone-based two-step authentication mode.,Emp Exp Common Config,1
receiverEmailId,LIST,List of email IDs to which notifications or communication should be sent from the Guard App.,Guard App,1
RECENT_ACTIVITY_ENABLED_FOR_ADMIN,BOOLEAN,Enables Recent Activity on the Admin Dashboard.,PMS,1
RECEPTIONIST,LIST,Configures Receptionist role access.,PMS,1
recordCheckInOutViaAccessCardAPI,BOOLEAN,-,Booking Rule Engine,1
recurrenceBookingEnabled,BOOLEAN,Enables recurring booking feature.,Emp Exp Common Config,1
recurringBookingCreatorCancelTemplate,STRING,Template for recurring booking cancel email for creator.,Email Emp Experience,1
recurringBookingCreatorCreateTemplate,STRING,Template for work planner recurring booking creation email.,Email Emp Experience,1
recurringBookingCreatorUpdateTemplate,STRING,Template for recurring workplanner booking update email.,Email Emp Experience,1
recurringBookings,BOOLEAN,Enables recurring booking flow for meeting rooms for both integrated and native.,Meeting Rooms,1
REFRESH_TOKEN_EXPIRY_IN_SECONDS,INTEGER,-,"App Server Config, App Server Config (.in)",2
rejectBookingIfNoDesk,BOOLEAN,-,Booking Rule Engine,1
rejectedRequestNotificationEnabled,BOOLEAN,Controls whether notifications are sent for rejected booking approval requests.,"Booking Rule Engine, WIS Seat Booking",2
RELEASE_MEETING_ROOM,BOOLEAN,"Controls the auto-release logic for rooms, based on the other MR configs (especially MEETING_ROOM_RELEASE_IF_NO_CHECKIN).",Meeting Rooms,1
RELEASE_ROOM_CANCEL_MEETING,BOOLEAN,Controls whether releasing a room also cancels the meeting from users calendars.,Meeting Rooms,1
releaseRoom,BOOLEAN,Not used,Meeting Rooms,1
ReleaseRoom,BOOLEAN,Controls if release room functionality is enabled,Meeting Rooms,1
releaseRoomEmailList,LIST,"Additional email recipients for release room notifications, other than organiser of the meeting which was released",Meeting Rooms,1
remoteSignCutoffInMinute,INTEGER,Defines cutoff time for contactless bus solution sign-in.,"Emp Exp Common Config, Emp Exp Internal Config",2
remoteSignInAllowed,BOOLEAN,Enables remote sign-in using Scan QR.,"Booking Rule Engine, Emp Exp Common Config",2
remoteSignOutCutoffInMinute,INTEGER,Defines cutoff time for remote sign-out.,Emp Exp Common Config,1
removeMealSelectionOnHolidayAndWeeklyOff,BOOLEAN,-,Booking Rule Engine,1
reportingAndAnalyticUrl,STRING,Defines Reporting and Analytics dashboard URL.,Emp Exp Common Config,1
reportingService,STRING,Defines Reporting service URL.,Emp Exp Common Config,1
REPORTS_ENABLED,BOOLEAN,Enables the Reports section.,PMS,1
request,BOOLEAN,-,PMS,1
REQUEST_APPROVAL_SUBJECT,STRING,Stratus access request subject.,Email Emp Experience,1
REQUEST_APPROVAL_TEMPLATE,STRING,Mail request to a list of approvers.,Email Emp Experience,1
REQUEST_APPROVED_SUBJECT,STRING,Admins approved support user request subject.,Email Emp Experience,1
REQUEST_APPROVED_TEMPLATE,STRING,Request approved email template to support user.,Email Emp Experience,1
REQUEST_REJECTED_SUBJECT,STRING,Stratus support user request rejected email subject.,Email Emp Experience,1
REQUEST_REJECTED_TEMPLATE,STRING,Stratus support user request rejection template.,Email Emp Experience,1
requestorPersonaEmails,JSON,For approval flow email.,Booking Rule Engine,1
REQUIRE_APPROVAL_FOR_OPT_OUT,LIST,-,Emp Exp Common Config,1
RESOURCE_APPROVALS_PAGE,BOOLEAN,For approval Workflow,PMS,1
RESOURCE_REQUESTS_PAGE,BOOLEAN,booking request page,PMS,1
resourceApprovalsPage,BOOLEAN,Resource approval page.,Booking Rule Engine,1
resourceApprovalsPageApp,BOOLEAN,Enables resource approval page.,Booking Rule Engine,1
resourceRequestsPage,BOOLEAN,Resource request page for approval.,Booking Rule Engine,1
resourceRequestsPageApp,BOOLEAN,-,Booking Rule Engine,1
RESTRICTED_AREA_VALIDATION_FAILED_MESSAGE,STRING,-,Email Emp Experience,1
restrictMealScanToOne,BOOLEAN,Restricts meal QR scanning to once per meal window.,Emp Exp Common Config,1
restrictMealSelectionTo,INTEGER,"Specifies the maximum number of meal items a user is allowed to select. Users can choose up to restrictMealSelectionTo items; they cannot select more. If 0, user can select unlimited items.",Booking Rule Engine,1
restrictMultipleVisitorBookingCheckIn,BOOLEAN,Restricts multiple visitor booking check-ins.,Emp Exp Common Config,1
restrictScanQROnFabButton,BOOLEAN,"When enabled (default false), restricts that the check-in mode on an office level also needs to be ScanQR. If disabled, any QR code can be scanned regardless of the office check-in mode.",Booking Rule Engine,1
rommEnabled,BOOLEAN,Controls the enablement of the room for booking,Meeting Rooms,1
ROOM_ALLOCATION_ENABLED,BOOLEAN,Enables the Room Allocation option in the Bulk Operations section.,PMS,1
Room_As_Organizer,BOOLEAN,Controls the enablement of the room as organiser workflow for the meeting room kiosk,Meeting Rooms,1
room_cancel_cutoff,INTEGER,Defines cancellation cut-off time in minutes for meeting room bookings.,Meeting Rooms,1
Room_Kiosk_With_Cisco,BOOLEAN,Meeting Rooms Kiosk workflow - Enables Cisco-related fields in the Meeting Rooms settings page under the Kiosk column,Meeting Rooms,1
room_name,STRING,Mapping of meeting room name via outlook sync,Meeting Rooms,1
Room_Special_Request_Enable,BOOLEAN,Controls visibility of the Meeting Request section in the meeting booking form - on web view.,Meeting Rooms,1
ROOM_TAGGING_ENABLED,BOOLEAN,Enables the Room Tagging option on the Bulk Operations page.,PMS,1
roomAllocationEnabled,BOOLEAN,Enables automatic room allocation.,Emp Exp Common Config,1
RoomBookingEmailEnabled,BOOLEAN,Controls the emails sent to additional recipients,Meeting Rooms,1
roomBookingsEmailList,LIST,Defines additional recipients for meeting room booking emails.,Meeting Rooms,1
roomCheckinQrOnKiosk,BOOLEAN,Controls display of meeting room QR code on kiosk at room level.,Meeting Rooms,1
roomEmailIdEmailMessage,JSON,Defines meeting room email message templates.,Emp Exp Common Config,1
roomMaintenanceMessage,STRING,"Controls the message displayed after the maintenance message, to allow admins to give further instructions for maintenance related messages.",Booking Rule Engine,1
roomMaintenanceNotificationEmails,LIST,Controls the email recipient list of room maintenance events.,Guard App,1
roomMaintenanceWorkflow,BOOLEAN,Property for enabling and disabling the room maintenance flow.,Booking Rule Engine,1
roomStatsKiosk,BOOLEAN,Controls the visibility of the checkout button against room bookings. Not dependent on checkin button.,Meeting Rooms,1
roomTagHeaders,LIST,Headers for room tag,WIS Seat Booking,1
roomWithApproval,BOOLEAN,Enables approval workflow for meeting rooms on web and mobile.,Meeting Rooms,1
roomWithApprovalBuidLevel,BOOLEAN,Enables meeting room approval workflow at BUID level.,Meeting Rooms,1
runTransportOptOutJob,BOOLEAN,Auto rejection/approval + schedule deletion for opted out users.,Emp Exp Common Config,1
SAFE_REACH_ENABLED,BOOLEAN,Enables the Safe Reach dashboard in the WIS sidenav.,PMS,1
safereach,STRING,-,Emp Exp Common Config,1
safeReachConsentContent,STRING,Defines consent statement with checkbox in Safe Reach kiosk form.,VMS,1
safeReachFailedVerificationTrigger,INTEGER,Defines trigger conditions for Safe Reach escalation email.,VMS,1
SafeReachInputFields,LIST,Defines customizable fields in Safe Reach form.,VMS,1
safeReachManualVerificationTrigger,INTEGER,Defines timeout for Safe Reach Level 2 escalation.,VMS,1
safeReachSecurityTeamContacts,LIST,Defines security contacts for Safe Reach Level 1 escalation.,VMS,1
safeReachSuccessMessage,STRING,Defines success message for Safe Reach.,Emp Exp Common Config,1
SafeReachVmsTimeInMin,INTEGER,Defines Safe Reach trigger time in minutes.,VMS,1
SAFETY,JSON,-,"App Server Config, App Server Config (.in)",2
SAFETY_TOOLKIT_MODEL,JSON,-,"App Server Config, App Server Config (.in)",2
SANITISATION_STATUS_ENABLED,BOOLEAN,Enables sidenav section of seat sanitization status (covid feature),PMS,1
sanitisationFloorPlanUrl,STRING,-,Emp Exp Common Config,1
scanInterval,DOUBLE,Defines the minimum time interval required between consecutive scans.,Guard App,1
SCHEDULE,JSON,"This property controls app-side employee shift future scheduling rules, edit/cancel permissions, adhoc and bulk scheduling options, multi-office support, transport integrations, notifications, indemnification rules, and related schedule feature configurations.","App Server Config, App Server Config (.in)",2
SCHEDULE_MANAGER,LIST,Configures Schedule Manager role access.,PMS,1
SCHEDULE_REMINDER_NOTIFICATION_BODY,STRING,-,Email Emp Experience,1
SCHEDULE_REMINDER_NOTIFICATION_SUBJECT,STRING,-,Email Emp Experience,1
scheduled_reminder_notification_enabled_buids,STRING,-,Emp Exp Common Config,1
scheduledTimeForVisitorGatePassEmailInMin,DOUBLE,-,Emp Exp Common Config,1
schedules,BOOLEAN,-,PMS,1
searchCriteriaVendorKiosk,JSON,Used to control search section and placeholder for vendor kiosk and dashboard search.,Emp Exp Common Config,1
SEAT_ALLOCATION_COMMUNICATION_BODY,STRING,Allocation details email body HTML.,Email Emp Experience,1
SEAT_ALLOCATION_COMMUNICATION_HEADER,STRING,Allocation details email subject.,Email Emp Experience,1
SEAT_AUTO_ALLOCATION,BOOLEAN,Enables Desk Auto Allocation.,PMS,1
SEAT_BELT_NON_COMPLIANCE_EMAIL_CONFIGS,JSON,-,Emp Exp Common Config,1
SEAT_BELT_NON_COMPLIANCE_EMAIL_SUBJECT,STRING,-,Email Emp Experience,1
SEAT_BELT_NON_COMPLIANCE_EMAIL_TEMPLATE,STRING,-,Email Emp Experience,1
SEAT_BELT_NON_COMPLIANCE_REPORT_EMAIL_ENABLED,BOOLEAN,-,Emp Exp Common Config,1
SEAT_BELT_NON_FUNCTIONING_AND_REPORTING_REASONS,JSON,-,"App Server Config, App Server Config (.in)",2
SEAT_BELT_REPORT_BUTTON_COOLDOWN_DURATION_MINUTES,INTEGER,-,"App Server Config, App Server Config (.in)",2
SEAT_FORECASTING_ENABLED,BOOLEAN,To enable Desk Forecasting Feature,PMS,1
SEAT_MANAGEMENT_ENABLED,BOOLEAN,Enables the Seat Bookings option under Team Manager Dashboard.,PMS,1
SEAT_UTILIZATION_ENABLED,BOOLEAN,Enables the Desk Utilization option in Seat Management.,PMS,1
seatAllocationAction,STRING,-,Booking Rule Engine,1
seatBeltNonFunctioningIssues,LIST,-,Emp Exp Common Config,1
seatBeltUndoTimeoutMinutes,INTEGER,-,Emp Exp Common Config,1
seatBooking,STRING,Defines primary Seat Booking application URL.,Emp Exp Common Config,1
seatBookingEnabled,BOOLEAN,Allow employees to create desk bookings.,Booking Rule Engine,1
seatBookingUrl,STRING,Defines the Seat Booking service URL.,"Emp Exp Common Config, WIS Seat Booking",2
seatBookingV2,BOOLEAN,Enables Seat Booking version 2.,"Emp Exp Common Config, Emp Exp Internal Config",2
seatingPlanHeaders,LIST,Headers for seating plan,WIS Seat Booking,1
seatMandatory,BOOLEAN,-,Booking Rule Engine,1
seatMetricsTimes,LIST,Defines configured time intervals used for calculating seat utilization and booking metrics.,Guard App,1
seatSanitizationCheck,BOOLEAN,Controls seat sanitization validation before booking.,"Booking Rule Engine, Emp Exp Common Config",2
seatSanitizeCuttoffInMinute,DOUBLE,Defines the seat sanitization cutoff time in minutes.,Guard App,1
seatScanEnable,BOOLEAN,Enables seat QR scanning on booking page.,"Booking Rule Engine, Emp Exp Common Config",2
seatTagHeaders,LIST,Headers for seat tag,WIS Seat Booking,1
seatValidation,BOOLEAN,-,Booking Rule Engine,1
security-supervisor,LIST,Configures Security Supervisor role access.,PMS,1
securityGuard,STRING,Defines Security Guard service URL.,Emp Exp Common Config,1
selectShiftsAfterSpecificTime,DOUBLE,-,Booking Rule Engine,1
selfCheckinSuccessMessage,STRING,Defines success message displayed after visitor self check-in.,VMS,1
selfCommuteSubmissionEmailSubject,STRING,Defines subject for opt-in/opt-out submission email.,Emp Exp Common Config,1
selfCommuteWithdrawalEmailSubject,STRING,Defines subject for opt-in/opt-out withdrawal email.,Emp Exp Common Config,1
SEND_INVITE_TO_ALL_EMPLOYEES,BOOLEAN,Controls recipients of native meeting room booking emails.,Meeting Rooms,1
sendEmailIneligibility,BOOLEAN,-,Emp Exp Common Config,1
